Value,region
72.13703319,7Networks_LH_Vis_1
91.12547154,7Networks_LH_Vis_2
98.75138891,7Networks_LH_Vis_3
64.43630706,7Networks_LH_Vis_4
87.28428793,7Networks_LH_Vis_5
63.73278981,7Networks_LH_Vis_6
76.16967391,7Networks_LH_Vis_7
112.464104,7Networks_LH_Vis_8
83.1111991,7Networks_LH_Vis_9
105.5976287,7Networks_LH_Vis_10
107.5283194,7Networks_LH_Vis_11
114.5461674,7Networks_LH_Vis_12
108.4501116,7Networks_LH_Vis_13
104.6467184,7Networks_LH_Vis_14
98.18737836,7Networks_LH_SomMot_1
109.9553955,7Networks_LH_SomMot_2
94.2182401,7Networks_LH_SomMot_3
100.0198582,7Networks_LH_SomMot_4
86.72720525,7Networks_LH_SomMot_5
96.0853905,7Networks_LH_SomMot_6
95.80105947,7Networks_LH_SomMot_7
103.1184714,7Networks_LH_SomMot_8
95.4845529,7Networks_LH_SomMot_9
114.520807,7Networks_LH_SomMot_10
117.976807,7Networks_LH_SomMot_11
109.8524882,7Networks_LH_SomMot_12
115.2295261,7Networks_LH_SomMot_13
108.0225569,7Networks_LH_SomMot_14
117.8884981,7Networks_LH_SomMot_15
111.7267234,7Networks_LH_SomMot_16
105.4034211,7Networks_LH_DorsAttn_Post_1
104.8086918,7Networks_LH_DorsAttn_Post_2
109.2890843,7Networks_LH_DorsAttn_Post_3
75.6897116,7Networks_LH_DorsAttn_Post_4
111.5373201,7Networks_LH_DorsAttn_Post_5
112.1210842,7Networks_LH_DorsAttn_Post_6
102.2927358,7Networks_LH_DorsAttn_Post_7
108.2252365,7Networks_LH_DorsAttn_Post_8
119.0635042,7Networks_LH_DorsAttn_Post_9
103.1474072,7Networks_LH_DorsAttn_Post_10
110.6834446,7Networks_LH_DorsAttn_FEF_1
93.90517939,7Networks_LH_DorsAttn_FEF_2
58.49369246,7Networks_LH_DorsAttn_PrCv_1
105.2250288,7Networks_LH_SalVentAttn_ParOper_1
99.3167218,7Networks_LH_SalVentAttn_ParOper_2
99.01406761,7Networks_LH_SalVentAttn_ParOper_3
102.815294,7Networks_LH_SalVentAttn_FrOperIns_1
78.51427062,7Networks_LH_SalVentAttn_FrOperIns_2
79.75242407,7Networks_LH_SalVentAttn_FrOperIns_3
72.82242212,7Networks_LH_SalVentAttn_FrOperIns_4
96.94942463,7Networks_LH_SalVentAttn_PFCl_1
91.63736616,7Networks_LH_SalVentAttn_Med_1
101.7532324,7Networks_LH_SalVentAttn_Med_2
108.5694622,7Networks_LH_SalVentAttn_Med_3
69.56280994,7Networks_LH_Limbic_OFC_1
56.62880393,7Networks_LH_Limbic_OFC_2
55.66837572,7Networks_LH_Limbic_TempPole_1
20.37174385,7Networks_LH_Limbic_TempPole_2
57.35946039,7Networks_LH_Limbic_TempPole_3
78.92527327,7Networks_LH_Limbic_TempPole_4
77.88837409,7Networks_LH_Cont_Par_1
105.8445248,7Networks_LH_Cont_Par_2
84.86804596,7Networks_LH_Cont_Par_3
59.30312571,7Networks_LH_Cont_Temp_1
77.3300857,7Networks_LH_Cont_OFC_1
85.17228335,7Networks_LH_Cont_PFCl_1
100.3291143,7Networks_LH_Cont_PFCl_2
77.14401494,7Networks_LH_Cont_PFCl_3
80.19922437,7Networks_LH_Cont_PFCl_4
88.37867077,7Networks_LH_Cont_PFCl_5
111.6624508,7Networks_LH_Cont_pCun_1
70.8000804,7Networks_LH_Cont_Cing_1
69.17208988,7Networks_LH_Cont_Cing_2
94.21839929,7Networks_LH_Default_Temp_1
68.08375797,7Networks_LH_Default_Temp_2
101.3419789,7Networks_LH_Default_Temp_3
105.0010483,7Networks_LH_Default_Temp_4
92.42781097,7Networks_LH_Default_Temp_5
95.57681075,7Networks_LH_Default_Par_1
98.87289574,7Networks_LH_Default_Par_2
95.74116675,7Networks_LH_Default_Par_3
90.62593733,7Networks_LH_Default_Par_4
100.1097431,7Networks_LH_Default_PFC_1
87.49526934,7Networks_LH_Default_PFC_2
98.09548749,7Networks_LH_Default_PFC_3
78.96967781,7Networks_LH_Default_PFC_4
100.3537239,7Networks_LH_Default_PFC_5
91.28811173,7Networks_LH_Default_PFC_6
104.8262907,7Networks_LH_Default_PFC_7
87.30176176,7Networks_LH_Default_PFC_8
89.81902273,7Networks_LH_Default_PFC_9
88.94652437,7Networks_LH_Default_PFC_10
76.30248086,7Networks_LH_Default_PFC_11
83.14024334,7Networks_LH_Default_PFC_12
60.4830551,7Networks_LH_Default_PFC_13
93.74257245,7Networks_LH_Default_pCunPCC_1
95.89523912,7Networks_LH_Default_pCunPCC_2
92.26262168,7Networks_LH_Default_pCunPCC_3
96.61966417,7Networks_LH_Default_pCunPCC_4
85.96372791,7Networks_LH_Default_PHC_1
68.12754281,7Networks_RH_Vis_1
67.12714008,7Networks_RH_Vis_2
82.72105631,7Networks_RH_Vis_3
60.29218635,7Networks_RH_Vis_4
87.07859054,7Networks_RH_Vis_5
81.02420679,7Networks_RH_Vis_6
72.6926563,7Networks_RH_Vis_7
72.32031948,7Networks_RH_Vis_8
75.02154314,7Networks_RH_Vis_9
98.68526641,7Networks_RH_Vis_10
84.73167943,7Networks_RH_Vis_11
96.02301839,7Networks_RH_Vis_12
104.5536468,7Networks_RH_Vis_13
104.5397714,7Networks_RH_Vis_14
104.6259272,7Networks_RH_Vis_15
99.66965278,7Networks_RH_SomMot_1
89.88728132,7Networks_RH_SomMot_2
95.7013176,7Networks_RH_SomMot_3
69.65210823,7Networks_RH_SomMot_4
97.32027541,7Networks_RH_SomMot_5
86.37195715,7Networks_RH_SomMot_6
90.4971555,7Networks_RH_SomMot_7
74.25159192,7Networks_RH_SomMot_8
94.20264808,7Networks_RH_SomMot_9
105.0131784,7Networks_RH_SomMot_10
79.69544,7Networks_RH_SomMot_11
103.1558058,7Networks_RH_SomMot_12
111.8909876,7Networks_RH_SomMot_13
110.112972,7Networks_RH_SomMot_14
110.0096628,7Networks_RH_SomMot_15
100.8371693,7Networks_RH_SomMot_16
102.2368074,7Networks_RH_SomMot_17
99.40282778,7Networks_RH_SomMot_18
105.6305638,7Networks_RH_SomMot_19
78.31083118,7Networks_RH_DorsAttn_Post_1
101.0850086,7Networks_RH_DorsAttn_Post_2
89.05546586,7Networks_RH_DorsAttn_Post_3
92.48867763,7Networks_RH_DorsAttn_Post_4
77.02444767,7Networks_RH_DorsAttn_Post_5
106.9517649,7Networks_RH_DorsAttn_Post_6
95.13107864,7Networks_RH_DorsAttn_Post_7
124.7506309,7Networks_RH_DorsAttn_Post_8
123.8402763,7Networks_RH_DorsAttn_Post_9
122.6137569,7Networks_RH_DorsAttn_Post_10
99.81891044,7Networks_RH_DorsAttn_FEF_1
100.9095788,7Networks_RH_DorsAttn_FEF_2
93.67431953,7Networks_RH_DorsAttn_PrCv_1
97.14430348,7Networks_RH_SalVentAttn_TempOccPar_1
100.8857338,7Networks_RH_SalVentAttn_TempOccPar_2
98.27594103,7Networks_RH_SalVentAttn_TempOccPar_3
102.5990927,7Networks_RH_SalVentAttn_PrC_1
45.7514441,7Networks_RH_SalVentAttn_FrOperIns_1
73.03502423,7Networks_RH_SalVentAttn_FrOperIns_2
82.80683526,7Networks_RH_SalVentAttn_FrOperIns_3
88.7376254,7Networks_RH_SalVentAttn_FrOperIns_4
87.27581423,7Networks_RH_SalVentAttn_Med_1
75.91017139,7Networks_RH_SalVentAttn_Med_2
100.0647646,7Networks_RH_SalVentAttn_Med_3
51.32268955,7Networks_RH_Limbic_OFC_1
69.55329953,7Networks_RH_Limbic_OFC_2
67.36239717,7Networks_RH_Limbic_OFC_3
53.63362632,7Networks_RH_Limbic_TempPole_1
64.27649878,7Networks_RH_Limbic_TempPole_2
59.88316543,7Networks_RH_Limbic_TempPole_3
73.70962428,7Networks_RH_Cont_Par_1
79.41339402,7Networks_RH_Cont_Par_2
109.4777091,7Networks_RH_Cont_Par_3
42.34473131,7Networks_RH_Cont_Temp_1
64.04570682,7Networks_RH_Cont_PFCv_1
82.54235548,7Networks_RH_Cont_PFCl_1
94.14453802,7Networks_RH_Cont_PFCl_2
79.05918058,7Networks_RH_Cont_PFCl_3
108.0540079,7Networks_RH_Cont_PFCl_4
95.35085937,7Networks_RH_Cont_PFCl_5
80.7814995,7Networks_RH_Cont_PFCl_6
104.0889947,7Networks_RH_Cont_PFCl_7
97.75894652,7Networks_RH_Cont_pCun_1
83.05439779,7Networks_RH_Cont_Cing_1
71.42693306,7Networks_RH_Cont_Cing_2
85.48939137,7Networks_RH_Cont_PFCmp_1
101.8572675,7Networks_RH_Cont_PFCmp_2
101.3413112,7Networks_RH_Default_Par_1
112.6793571,7Networks_RH_Default_Par_2
90.40842502,7Networks_RH_Default_Par_3
94.8669783,7Networks_RH_Default_Temp_1
70.67124298,7Networks_RH_Default_Temp_2
82.25765158,7Networks_RH_Default_Temp_3
63.13126667,7Networks_RH_Default_Temp_4
64.23039691,7Networks_RH_Default_Temp_5
78.95927572,7Networks_RH_Default_PFCv_1
75.19746422,7Networks_RH_Default_PFCdPFCm_1
95.93302647,7Networks_RH_Default_PFCdPFCm_2
63.08441755,7Networks_RH_Default_PFCdPFCm_3
103.909405,7Networks_RH_Default_PFCdPFCm_4
105.5007332,7Networks_RH_Default_PFCdPFCm_5
89.62780728,7Networks_RH_Default_PFCdPFCm_6
86.21717446,7Networks_RH_Default_PFCdPFCm_7
89.83764859,7Networks_RH_Default_pCunPCC_1
88.41775599,7Networks_RH_Default_pCunPCC_2
91.65235883,7Networks_RH_Default_pCunPCC_3